DOI,Year,Title,Journal,Reason
10.1016/j.apenergy.2020.114965,2020,Data-driven estimation of building energy consumption with multi-source heterogeneous data,Applied Energy,Eliminated – Monitoring/Forecasting only
10.1016/j.jobe.2019.101030,2020,Estimation of energy savings potential through hydraulic balancing of heating systems in buildings,Journal of Building Engineering,Eliminated – Monitoring/Forecasting only
10.1016/j.buildenv.2020.106663,2020,Building climate zoning in China using supervised classification-based machine learning,Building and Environment,Eliminated – Monitoring/Forecasting only
10.1016/j.autcon.2020.103273,2020,Optimal placement of triaxial accelerometers using hypotrochoid spiral optimization algorithm for automated monitoring of high-rise buildings,Automation in Construction,Eliminated – Monitoring/Forecasting only
10.1016/j.autcon.2020.103232,2020,Point cloud segmentation and classification of structural elements in multi-planar masonry building facades,Automation in Construction,Eliminated – Monitoring/Forecasting only
10.1016/j.scs.2020.102296,2020,Parametric energy performance analysis and monitoring of buildings—HEART project platform case study,Sustainable Cities and Society,Eliminated – Monitoring/Forecasting only
10.1016/j.buildenv.2019.106475,2020,"GSV2SVF-an interactive GIS tool for sky, tree and building view factor estimation from street view photographs",Building and Environment,Eliminated – Monitoring/Forecasting only
10.1016/j.enbuild.2020.110209,2020,Mapping the energy usage in Brazilian public schools,Energy and Buildings,Eliminated – Monitoring/Forecasting only
10.1016/j.jobe.2019.101113,2020,Efficient health monitoring of buildings using failure modes and effects analysis case study: Air handling unit system,Journal of Building Engineering,Eliminated – Monitoring/Forecasting only
10.1016/j.jobe.2019.101029,2020,Climate monitoring in World Heritage List buildings with low-cost data loggers: The case of the Jerónimos Monastery in Lisbon (Portugal),Journal of Building Engineering,Eliminated – Monitoring/Forecasting only
10.1016/j.apenergy.2020.115872,2020,Effective non-intrusive load monitoring of buildings based on a novel multi-descriptor fusion with dimensionality reduction,Applied Energy,Eliminated – Monitoring/Forecasting only
10.1016/j.jobe.2020.101384,2020,Monitoring of heating systems as a factor of energy safety of buildings,Journal of Building Engineering,Eliminated – Monitoring/Forecasting only
10.1016/j.scs.2020.102349,2020,Nearly zero energy target and indoor comfort in Mediterranean climate: Discussion based on monitoring data for a real case study,Sustainable Cities and Society,Eliminated – Monitoring/Forecasting only
10.1016/j.apenergy.2019.114237,2020,An energy-cyber-physical system for personalized normative messaging interventions: Identification and classification of behavioral reference groups,Applied Energy,Eliminated – Monitoring/Forecasting only
10.1016/j.apenergy.2020.114745,2020,Life-cycle approach to the estimation of energy efficiency measures in the buildings sector,Applied Energy,Eliminated – Monitoring/Forecasting only
10.1016/j.energy.2020.116982,2020,A new approach to develop a climate classification for building energy efficiency addressing Chinese climate characteristics,Energy,Eliminated – Monitoring/Forecasting only
10.1016/j.buildenv.2020.107071,2020,"Long-term, continuous air quality monitoring in a cross-sectional study of three UK non-domestic buildings",Building and Environment,Eliminated – Monitoring/Forecasting only
10.1016/j.buildenv.2021.108243,2021,Use of optimised MLP neural networks for spatiotemporal estimation of indoor environmental conditions of existing buildings,Building and Environment,Eliminated – Monitoring/Forecasting only
