DOI,Year,Title,Journal,Reason
10.1016/j.scitotenv.2020.138965,2020,The impact of long-term changes in air temperature on renewable energy in Poland,Science of The Total Environment,Eliminated – Renewable-only
10.1016/j.renene.2020.03.099,2020,Integrated system efficiency in reducing redundancy and promoting residential renewable energy in countries without net-metering: A case study of a SHS in Ghana,Renewable Energy,Eliminated – Renewable-only
10.1016/j.jobe.2019.101079,2020,High-performance building: Sensitivity analysis for simulating different combinations of components of a two-sided windcatcher,Journal of Building Engineering,Eliminated – Renewable-only
10.1016/j.apenergy.2020.114881,2020,Method to improve performance of building integrated photovoltaic thermal system having optimum tilt and facing directions,Applied Energy,Eliminated – Renewable-only
10.1016/j.apenergy.2019.114247,2020,Electrical system architectures for building-integrated photovoltaics: A comparative analysis using a modelling framework in Modelica,Applied Energy,Eliminated – Renewable-only
10.1016/j.jclepro.2019.119269,2020,Multi-criterion optimization of integrated photovoltaic facade with inter-building effects in diverse neighborhood densities,Journal of Cleaner Production,Eliminated – Renewable-only
10.1016/j.apenergy.2020.115816,2020,A lightweight triangular building integrated photovoltaic module,Applied Energy,Eliminated – Renewable-only
10.1016/j.jobe.2020.101630,2020,Influence of photovoltaic installation on energy performance of a nursery building in Warsaw (Central European conditions),Journal of Building Engineering,Eliminated – Renewable-only
10.1016/j.apenergy.2020.114571,2020,Flexible electricity use for heating in markets with renewable energy,Applied Energy,Eliminated – Renewable-only
10.1016/j.enbuild.2020.109803,2020,Waste heat and renewable energy integration in buildings,Energy and Buildings,Eliminated – Renewable-only
10.1016/j.renene.2020.02.077,2020,Profitability of photovoltaic and battery systems on municipal buildings,Renewable Energy,Eliminated – Renewable-only
10.1016/j.applthermaleng.2020.115926,2020,Optimization and dynamic techno-economic analysis of a novel PVT-based smart building energy system,Applied Thermal Engineering,Eliminated – Renewable-only
10.1016/j.apenergy.2019.114079,2020,"Transitioning remote Arctic settlements to renewable energy systems – A modelling study of Longyearbyen, Svalbard",Applied Energy,Eliminated – Renewable-only
10.1016/j.apenergy.2020.115839,2020,Low Concentrating Photovoltaics (LCPV) for buildings and their performance analyses,Applied Energy,Eliminated – Renewable-only
10.1016/j.renene.2019.11.053,2020,Utilizing renewable energy sources efficiently in hospitals using demand dispatch,Renewable Energy,Eliminated – Renewable-only
10.1016/j.rser.2019.109489,2020,Renewable energy communities under the 2019 European Clean Energy Package – Governance model for the energy clusters of the future?,Renewable and Sustainable Energy Reviews,Eliminated – Renewable-only
10.1016/j.conengprac.2020.104456,2020,Self-perturbing extremum-seeking controller with adaptive gain,Control Engineering Practice,Eliminated – Renewable-only
10.1016/j.scs.2019.101780,2020,A novel energy-economic-environmental multi-criteria decision-making in the optimization of a hybrid renewable system,Sustainable Cities and Society,Eliminated – Renewable-only
10.1016/j.renene.2021.03.148,2021,Observed impacts of utility-scale photovoltaic plant on local air temperature and energy partitioning in the barren areas,Renewable Energy,Eliminated – Renewable-only
10.1016/j.rser.2021.111382,2021,Assessing the influence of legal constraints on the integration of renewable energy technologies in polygeneration systems for buildings,Renewable and Sustainable Energy Reviews,Eliminated – Renewable-only
10.1016/j.renene.2021.07.111,2021,Recent advances in renewable energy technology for the energy transition,Renewable Energy,Eliminated – Renewable-only
10.1016/j.apenergy.2021.117017,2021,An optimization approach to photovoltaic building integration towards low energy buildings in different climate zones,Applied Energy,Eliminated – Renewable-only
10.1016/j.enbuild.2021.110851,2021,Optimizing the integration of renewable energy in existing buildings,Energy and Buildings,Eliminated – Renewable-only
10.1016/j.enbuild.2020.110710,2021,Embedding energy optimization in organizations: A case study of a Swiss decentralized renewable energy system,Energy and Buildings,Eliminated – Renewable-only
10.1016/j.renene.2021.05.124,2021,Selection methodology of representative meteorological days for assessment of renewable energy systems,Renewable Energy,Eliminated – Renewable-only
10.1016/j.energy.2021.120784,2021,Mitigating heat demand peaks in buildings in a highly renewable European energy system,Energy,Eliminated – Renewable-only
10.1016/j.enbuild.2020.110707,2021,"Energy performance of building integrated photovoltaic high-rise building: Case study, Tehran, Iran",Energy and Buildings,Eliminated – Renewable-only
10.1016/j.apenergy.2020.116309,2021,Exogenous influences on deployment and profitability of photovoltaics for self-consumption in multi-apartment buildings in Australia and Austria,Applied Energy,Eliminated – Renewable-only
10.1016/j.rser.2021.111175,2021,Comparative energy consumption and photovoltaic economic analysis for residential buildings in Santiago de Chile and Santo Domingo of the Dominican Republic,Renewable and Sustainable Energy Reviews,Eliminated – Renewable-only
10.1016/j.solener.2021.09.004,2021,Study of a building integrated bifacial photovoltaic facade,Solar Energy,Eliminated – Renewable-only
10.1016/j.jclepro.2021.129780,2021,A multi-objective methodology for evaluating the investment in building-integrated hybrid renewable energy systems,Journal of Cleaner Production,Eliminated – Renewable-only
10.1016/j.jobe.2020.101932,2021,Development of vulnerability curves of buildings to windstorms using insurance data: An empirical study in South Korea,Journal of Building Engineering,Eliminated – Renewable-only
10.1016/j.solener.2020.12.033,2021,Determination of optimum tilt and azimuth angle of BiSPVT system along with its performance due to shadow of adjacent buildings,Solar Energy,Eliminated – Renewable-only
10.1016/j.jclepro.2021.127906,2021,Assessment of the electrical and thermal performances of building integrated bifacial photovoltaic modules,Journal of Cleaner Production,Eliminated – Renewable-only
10.1016/j.renene.2021.05.046,2021,"Experimental investigation of a building-integrated, transparent, concentrating photovoltaic and thermal collector",Renewable Energy,Eliminated – Renewable-only
10.1016/j.jclepro.2021.126383,2021,On the failure of the only vernacular windcatcher in the mountainous region of Western Iran: Opportunities for energy-efficient buildings,Journal of Cleaner Production,Eliminated – Renewable-only
