file,scale,paradigms,model_hits,building_model_paradigms,building_model_paradigm_terms,system_model_paradigms,system_model_paradigm_terms,occupancy_model_paradigms,occupancy_model_paradigm_terms,climate_model_paradigms,climate_model_paradigm_terms,building_model_optim_methods,building_model_optim_objectives,building_model_optim_terms,system_model_optim_methods,system_model_optim_objectives,system_model_optim_terms,occupancy_model_optim_methods,occupancy_model_optim_objectives,occupancy_model_optim_terms,climate_model_optim_methods,climate_model_optim_objectives,climate_model_optim_terms,applications,kpis_all,kpi_primary,kpi_types,energy_waste_mentions,energy_waste_definition_found,energy_waste_sentences,energy_waste_definitions,kpi_tradeoff_groups,kpi_tradeoff_top_group,kpi_tradeoff_kpis_any,data_types,collected_data_resolution,sampling_mentions,model_development,model_inputs,input_resolutions_all,input_resolution_primary,online_learning_any,online_learning_components
10.1016_j.aei.2023.101895.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.aei.2023.102239.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.aei.2024.102810.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.apenergy.2019.113920.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.apenergy.2019.114174.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.apenergy.2019.114416.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.apenergy.2019.114451.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.apenergy.2020.114638.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.apenergy.2020.114734.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.apenergy.2020.114882.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.apenergy.2020.115036.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.apenergy.2020.115147.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.apenergy.2020.115322.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.apenergy.2020.115324.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.apenergy.2020.115371.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.apenergy.2020.115426.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.apenergy.2020.115427.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.apenergy.2020.115451.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.apenergy.2020.115543.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.apenergy.2020.115732.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.apenergy.2020.115765.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.apenergy.2020.116096.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
10.1016_j.apenergy.2020.116117.json,,whitebox,,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,,,,,,False,,,,NM,,,,,,,,,NM,NM
