file,systems,building_modelling_terms,system_modelling_terms,weather_modelling_terms,occupancy_modelling_terms,building_paradigms,system_paradigms,weather_paradigms,occupancy_paradigms,building_paradigm_terms,system_paradigm_terms,weather_paradigm_terms,occupancy_paradigm_terms,optimization_methods,optimization_method_terms
10.1016_j.apenergy.2019.113920.json,"['acmv', 'ahu', 'chiller', 'coil', 'damper', 'doas', 'pump', 'vav']",['NM'],"['acmv', 'ahu', 'chiller', 'coil', 'doas']",['NM'],['NM'],['NM'],"['blackbox', 'greybox', 'whitebox']",['NM'],['NM'],['NM'],"['kalman', 'linear', 'linearized', 'state-space', 'statistical']",['NM'],['NM'],['classical_control_and_mpc'],['mpc']
10.1016_j.apenergy.2020.115426.json,['ac'],['NM'],['ac'],['NM'],['NM'],['NM'],['blackbox'],['NM'],['NM'],['NM'],"['bcnn', 'bcnns']",['NM'],['NM'],['reinforcement_learning'],['q-learning']
10.1016_j.apenergy.2021.117276.json,['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM']
10.1016_j.apenergy.2021.117987.json,"['coil', 'hvac']",['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM']
10.1016_j.apenergy.2022.119580.json,"['coil', 'hvac']",['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM']
10.1016_j.enbuild.2020.109792.json,"['chiller', 'hvac']",['NM'],['hvac'],['NM'],['NM'],['NM'],"['blackbox', 'whitebox']",['NM'],['NM'],['NM'],"['data-driven', 'first-principles', 'linear']",['NM'],['NM'],['classical_control_and_mpc'],['mpc']
10.1016_j.apenergy.2020.115147.json,"['acmv', 'ahu', 'chiller', 'coil', 'damper', 'fcu', 'vav']",['NM'],"['acmv', 'ahu', 'chiller']",['NM'],['NM'],['NM'],"['blackbox', 'greybox', 'whitebox']",['NM'],['NM'],['NM'],"['ann', 'hybrid', 'linear', 'linearized', 'statistical']",['NM'],['NM'],"['classical_control_and_mpc', 'metaheuristics_and_optim']","['ga', 'mpc', 'pid', 'pso']"
10.1016_j.buildenv.2020.107089.json,"['hvac', 'vav']",['NM'],['hvac'],['NM'],['NM'],['NM'],['whitebox'],['NM'],['NM'],['NM'],['linear'],['NM'],['NM'],['NM'],['NM']
10.1016_j.enbuild.2020.110271.json,"['boiler', 'hvac']",['NM'],['hvac'],['NM'],['NM'],['NM'],['blackbox'],['NM'],['NM'],['NM'],['statistical'],['NM'],['NM'],['NM'],['NM']
10.1016_j.enbuild.2023.113747.json,"['boiler', 'hvac']",['NM'],['boiler'],['NM'],['NM'],['NM'],"['blackbox', 'whitebox']",['NM'],['NM'],['NM'],"['energyplus', 'statistical']",['NM'],['NM'],['NM'],['NM']
10.1016_j.enbuild.2021.111255.json,"['ahu', 'chiller', 'coil', 'damper', 'hvac', 'vav']",['NM'],"['ahu', 'coil', 'damper', 'hvac']",['NM'],['NM'],['NM'],['blackbox'],['NM'],['NM'],['NM'],['data-driven'],['NM'],['NM'],['metaheuristics_and_optim'],['ga']
10.1016_j.enbuild.2020.110276.json,"['ahu', 'chiller', 'hvac', 'pump', 'vav']",['NM'],"['chiller', 'hvac', 'pump']",['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM']
10.1016_j.enbuild.2024.114215.json,"['ahu', 'chiller', 'coil', 'fcu', 'hvac', 'pump', 'vav']",['NM'],['hvac'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM'],['NM']
10.1016_j.jobe.2022.104498.json,"['ahu', 'chiller', 'coil', 'hvac']",['NM'],"['chiller', 'coil', 'hvac']",['NM'],['NM'],['NM'],['whitebox'],['NM'],['NM'],['NM'],['linear'],['NM'],['NM'],['metaheuristics_and_optim'],['ga']
