file,systems,building_modelling_terms,system_modelling_terms,weather_modelling_terms,occupancy_modelling_terms,building_paradigms,system_paradigms,weather_paradigms,occupancy_paradigms,building_paradigm_terms,system_paradigm_terms,weather_paradigm_terms,occupancy_paradigm_terms,optimization_methods,optimization_method_terms
10.1016_j.apenergy.2019.113920.json,acmv;ahu;chiller;coil;damper;doas;pump;vav,NM,acmv;acmv model;ahu;chiller;coil;coils;doas;pump,NM,NM,NM,greybox;whitebox,NM,NM,NM,kalman;linear;linearized;state-space;state-space model,NM,NM,classical_control_and_mpc,mpc
10.1016_j.apenergy.2020.115147.json,acmv;ahu;chiller;coil;damper;fcu;vav,NM,acmv;ahu;chiller;vav,NM,NM,NM,blackbox,NM,NM,NM,ann;ann-based;machine-learning-based,NM,NM,classical_control_and_mpc,mpc;mpc controller;pid
10.1016_j.apenergy.2020.115426.json,ac;hvac,NM,ac;acs,NM,NM,NM,blackbox,NM,NM,NM,bcnn;bcnns;convolutional-neural-networks;data-driven;neural-networks,NM,NM,reinforcement_learning,q-learning;q-learning based
10.1016_j.apenergy.2021.117276.json,ahu,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
10.1016_j.apenergy.2021.117987.json,boiler;chiller;coil;damper;hvac,NM,hvac,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
10.1016_j.apenergy.2022.119580.json,coil;hvac,NM,hvac,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
10.1016_j.buildenv.2020.107089.json,hvac;vav,NM,hvac;vav,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
10.1016_j.enbuild.2020.109792.json,chiller;hvac,NM,chiller;hvac,NM,NM,NM,whitebox,NM,NM,NM,first-principles models,NM,NM,NM,NM
10.1016_j.enbuild.2020.110271.json,boiler;hvac;pump,NM,hvac,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
10.1016_j.enbuild.2020.110276.json,ahu;chiller;damper;hvac;pump;vav,NM,ahu;ahus;chiller;chillers;hvac;pump;pump control;pumps,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
10.1016_j.enbuild.2021.111255.json,ahu;chiller;coil;damper;hvac;pump;vav,NM,ahu;ahus;chillers;coil;coils;damper;hvac,NM,NM,NM,blackbox,NM,NM,NM,data-driven,NM,NM,metaheuristics_and_optim,ga
10.1016_j.enbuild.2023.113747.json,boiler;coil;hvac,NM,boiler;boilers;coils,NM,NM,NM,whitebox,NM,NM,NM,energyplus,NM,NM,metaheuristics_and_optim,gas
10.1016_j.enbuild.2024.114215.json,ahu;chiller;coil;fcu;hvac;pump;vav,NM,hvac,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
10.1016_j.jobe.2022.104498.json,ahu;chiller;coil;hvac;pump,NM,chiller model;coil model;hvac;pumps,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
