file,paradigms,model_hits,scale,data_types,applications,kpis_all,kpi_primary,collected_data_resolution,sampling_mentions,building_model_paradigms,building_model_paradigm_terms,system_model_paradigms,system_model_paradigm_terms,occupancy_model_paradigms,occupancy_model_paradigm_terms,climate_model_paradigms,climate_model_paradigm_terms,building_model_optim_methods,system_model_optim_methods,occupancy_model_optim_methods,climate_model_optim_methods,building_model_optim_objectives,building_model_optim_terms,system_model_optim_objectives,system_model_optim_terms,occupancy_model_optim_objectives,occupancy_model_optim_terms,climate_model_optim_objectives,climate_model_optim_terms,kpi_types,model_development,model_inputs,input_resolutions_all,input_resolution_primary,energy_waste_mentions,energy_waste_definition_found,kpi_tradeoff_groups,kpi_tradeoff_top_group,kpi_tradeoff_kpis_any,online_learning_any,online_learning_components
10.1016_j.apenergy.2019.113920.json,greybox;blackbox,calibrated:0.75;energyplus:0.75;matlab:0.75;simplified:1.50;simulink:0.75;trnsys:0.75;filter:1.50;hybrid:0.75;integrated:0.75;kalman:1.50;linearized:0.75;novel:0.75;rc:0.75;rc model:0.75;ssm:0.75;machine learning:0.75;memory:0.75;oak:0.75;ridge:0.75;statistical:0.75;tn:0.75,building_model;system_model,air_quality;air_temperature;environment;hvac_signals;metering;occupancy;thermal_comfort,energy flexibility;mpc;operation performance analysis;performance monitoring,1_min;5_min;daily;hourly;monthly;subhourly,subhourly,subhourly,preamble:32S;preamble:545S;preamble:2005S;preamble:173H;preamble:39S;preamble:2019S;preamble:163S;preamble:391S;preamble:45Hz;preamble:5min;preamble:1min;preamble:5min;preamble:1min;preamble:2min;preamble:5min;preamble:0.2s;preamble:120s;preamble:120s;preamble:40h;preamble:30min;preamble:60min;preamble:daily;preamble:weekly;preamble:5-min;preamble:1-min,greybox,state-space;simplified;rc;ssm,whitebox;greybox,trnsys,NM,NM,NM,NM,optimal_control,NM,NM,NM,comfort,NM,NM,NM,NM,NM,NM,NM,carbon_emissions;cost;energy_performance;flexibility;thermal_comfort,forward;real-time;robust;schedule;update;updated,electric_load;electric_use;occupancy;weather,1_min;5_min;daily;hourly;monthly;subhourly,subhourly,,False,energy_use|thermal_comfort,energy_use|thermal_comfort,energy_use;thermal_comfort,yes,NM
10.1016_j.apenergy.2019.114174.json,greybox,control-oriented:1.50;simplified:1.50;coupled:0.75;hybrid:0.75;integrated:0.75;mathematical:0.75;novel:0.75;regression:0.75;statistical:0.75,building_model,air_quality;air_temperature;environment;hvac_signals;metering;occupancy,benchmarking;energy flexibility;fdd;mpc;operation performance analysis;performance monitoring,daily;hourly;monthly;subhourly,subhourly,subhourly,preamble:3607S;preamble:1minute;preamble:60minute;preamble:155minute;preamble:84minute;preamble:248minute;preamble:3607S,NM,NM,NM,NM,NM,NM,NM,NM,optimal_control,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,carbon_emissions;cost;energy_performance;flexibility;thermal_comfort,initialization;real-time;schedule,electric_load;electric_use;occupancy;operation_schedules;weather,daily;hourly;monthly;subhourly,subhourly,,False,energy_use|thermal_comfort,energy_use|thermal_comfort,energy_use;thermal_comfort,yes,NM
10.1016_j.apenergy.2019.114416.json,greybox;blackbox,data-driven:1.50;library:0.75;matlab:0.75;simplified:1.50;trnsys:1.50;filter:1.50;hybrid:0.75;integrated:0.75;mathematical:0.75;novel:0.75;zhou:0.75;classification:0.75;cstb:0.75;forecasting:0.75;linear regression:0.75;machine learning:0.75;machine-learning:0.75;multi-layer:0.75;neural network:0.75,building_model,air_quality;air_temperature;environment;hvac_signals;metering;occupancy,energy flexibility;mpc;operation performance analysis;performance monitoring,annual;daily;hourly;monthly;subhourly;yearly,subhourly,subhourly,preamble:450S;preamble:34S;preamble:965S;preamble:1031S;preamble:2019S;preamble:2h;preamble:0.125h;preamble:8760h;preamble:16hr;preamble:15.5hr;preamble:6hr;preamble:16hr;preamble:hourly;preamble:daily;preamble:monthly;preamble:annual,greybox;blackbox,hybrid;short-term;data-driven;machine learning;trnsys;novel,NM,NM,NM,NM,NM,NM,heuristic_metaheuristic;optimal_control,NM,NM,NM,demand_response;comfort;cost,NM,NM,NM,NM,NM,NM,NM,carbon_emissions;cost;energy_performance;flexibility;thermal_comfort,deterministic;gaussian;monte;real-time;robust;scheduled;setpoints;stochastic;uncertain;uncertainty;update;weight,electric_load;electric_use;internal_gains;occupancy;weather,annual;daily;hourly;monthly;subhourly;yearly,subhourly,,False,NM,NM,NM,yes,building_model
10.1016_j.apenergy.2020.114638.json,whitebox;greybox;blackbox,calibrated:0.75;co-simulation:0.75;contam:0.75;energyplus:0.75;erl:0.75;fmu:0.75;library:0.75;matlab:0.75;modelica:0.75;simplified:1.50;estimation:1.50;hybrid:0.75;mathematical:0.75;novel:0.75;trnsys:0.75;zhou:0.75;bayesian network:0.75;machine learning:0.75;memory:0.75;neural network:0.75;regression:0.75;statistical:0.75,building_model;system_model,air_quality;air_temperature;environment;hvac_signals;metering;occupancy,benchmarking;energy flexibility;fdd;mpc;operation performance analysis;performance monitoring,annual;daily;hourly;monthly;subhourly;yearly,subhourly,subhourly,preamble:2018S;preamble:490S;preamble:271S;preamble:228S;preamble:2015H;preamble:62S;preamble:3017S;preamble:5min;preamble:hourly;preamble:daily;preamble:annual,whitebox,energyplus,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,comfort,NM,NM,NM,NM,NM,NM,NM,carbon_emissions;cost;energy_performance;flexibility;thermal_comfort,conditional;deterministic;gaussian;monte;robust;stochastic;uncertain;uncertainty;wavelet,electric_load;electric_use;internal_gains;occupancy;weather,annual;daily;hourly;monthly;subhourly;yearly,subhourly,energy waste,False,energy_use|thermal_comfort,energy_use|thermal_comfort,energy_use;thermal_comfort,NM,NM
10.1016_j.apenergy.2020.114771.json,whitebox;blackbox,data-driven:1.50;gray-box:1.50;grey-box:1.50;library:0.75;matlab:0.75;physics-based:1.50;retrained:0.75;simplified:1.50;simulate:0.75;simulator:0.75;integrated:0.75;mathematical:0.75;microgrid:0.75;ann:0.75;ann-based:0.75;deep learning:0.75;forecasting:0.75;machine learning:0.75;ml:0.75;multi-layer:0.75;narx:0.75;neural network:0.75,building_model,air_quality;air_temperature;environment;metering;occupancy,energy flexibility;mpc;operation performance analysis;performance monitoring,annual;daily;hourly;monthly;subhourly;yearly,subhourly,subhourly,preamble:2178S;preamble:2002H;preamble:101468H;preamble:5021H;preamble:1H;preamble:2H;preamble:1h;preamble:1H;preamble:2H;preamble:7h;preamble:19h;preamble:8h;preamble:19h;preamble:1h;preamble:6h;preamble:8h;preamble:13h;preamble:13h;preamble:1h;preamble:6h;preamble:9h;preamble:11h;preamble:9h;preamble:11h;preamble:6h;preamble:8h;preamble:19h;preamble:1h;preamble:10h;preamble:5h;preamble:234.54s;preamble:2941.6s;preamble:hourly;preamble:daily;preamble:annual,blackbox,ann;ann-based;physics-based;data-driven;grey-box;integrated;narx;neural network,NM,NM,NM,NM,NM,NM,optimal_control;reinforcement_learning;mathematical_programming;heuristic_metaheuristic,NM,NM,NM,demand_response;cost;comfort;iaq_infection;energy,NM,NM,NM,NM,NM,NM,NM,cost;energy_performance;flexibility;thermal_comfort,deterministic;explicit;log;pre-defined;real-time;schedule;scheduled;uncertainty;update;updated;updating,electric_load;electric_use;occupancy;weather,annual;daily;hourly;monthly;subhourly;yearly,subhourly,,False,NM,NM,NM,yes,building_model
10.1016_j.apenergy.2020.114882.json,blackbox,data-driven:1.50;energyplus:0.75;ice:0.75;simulate:0.75;coupled:0.75;integrated:0.75;zhou:0.75;bayesian network:0.75;logistic:0.75;machine learning:0.75;non-intrusive:0.75;quantitative:0.75;regression:0.75;similarity:0.75;statistical:0.75,building_model,air_quality;air_temperature;environment;hvac_signals;metering;occupancy;thermal_comfort,benchmarking;energy flexibility;fdd;mpc;operation performance analysis;performance monitoring,annual;daily;hourly;monthly;subhourly;yearly,subhourly,subhourly,preamble:2887S;preamble:1245S;preamble:daily;preamble:annual,NM,NM,NM,NM,NM,NM,NM,NM,optimal_control,NM,NM,NM,comfort,NM,NM,NM,NM,NM,NM,NM,cost;energy_performance;flexibility;thermal_comfort,gaussian;occupancy profile;probabilistic;setpoints;stochastic;uncertainty;updating;weight,electric_load;electric_use;occupancy;weather,annual;daily;hourly;monthly;subhourly;yearly,subhourly,,False,energy_use|thermal_comfort,energy_use|thermal_comfort,energy_use;thermal_comfort,yes,NM
10.1016_j.apenergy.2020.115036.json,whitebox;greybox;blackbox,data-driven:1.50;energyplus:0.75;matlab:0.75;open-source:0.75;physics-based:1.50;purely:0.75;reduced-order:0.75;simulator:0.75;simulink:0.75;1r1c:0.75;2r2c:0.75;estimation:1.50;filter:1.50;hybrid:0.75;integrated:0.75;mathematical:0.75;microgrid:0.75;novel:0.75;deep learning:0.75;encoder:0.75;estimator:0.75;gaussian process:0.75;gpr:0.75;machine learning:0.75;machine-learning:0.75,building_model,air_quality;air_temperature;environment;hvac_signals;metering;occupancy,benchmarking;energy flexibility;fdd;mpc;operation performance analysis;performance monitoring;retrofit,annual;daily;hourly;monthly;subhourly;yearly,subhourly,subhourly,preamble:572S;preamble:569H;preamble:1261S;preamble:436S;preamble:161S;preamble:168H;preamble:10S;preamble:1035H;preamble:147S;preamble:225S;preamble:354H;preamble:14S;preamble:15H;preamble:4725S;preamble:146S;preamble:1970s;preamble:10.022S;preamble:08.014H;preamble:03.007S;preamble:48h;preamble:48h;preamble:0278364917710318S;preamble:06.001S;preamble:12.019H;preamble:2018.00840S;preamble:01.140H;preamble:06.002S;preamble:1.2710491S;preamble:8H;preamble:2015.7449452S;preamble:04.108H;preamble:2017.2667599S;preamble:03.010S;preamble:monthly;preamble:annual,blackbox,reinforcement learning;deep learning;microgrid,NM,NM,NM,NM,NM,NM,reinforcement_learning,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,carbon_emissions;cost;energy_performance;flexibility;thermal_comfort,actor;deterministic;exploration;gaussian;log;monte;q-value;q-values;robust;schedule;setpoints;stochastic;uncertain;uncertainty;update;updated;weight,electric_load;electric_use;occupancy;weather,annual;daily;hourly;monthly;subhourly;yearly,subhourly,,False,energy_use|thermal_comfort,energy_use|thermal_comfort,energy_use;thermal_comfort,yes,NM
10.1016_j.apenergy.2020.115147.json,whitebox;greybox;blackbox,data-driven:1.50;energyplus:0.75;high-fidelity:1.50;matlab:0.75;physics-based:1.50;simplified:1.50;toolbox:0.75;white-box:1.50;hybrid:0.75;integrated:0.75;linearized:0.75;mathematical:0.75;state-space:0.75;white-:0.75;ann:0.75;ann-based:0.75;deep learning:0.75;forecasting:0.75;fusion:0.75;machine learning:0.75;machine-learning:0.75;memory:0.75;ml:0.75,building_model,air_quality;air_temperature;environment;hvac_signals;metering;occupancy;thermal_comfort,fdd;mpc;operation performance analysis;performance monitoring,daily;hourly;monthly;subhourly;yearly,subhourly,subhourly,preamble:306S;preamble:39S;preamble:279S;preamble:109451S;preamble:113920S;preamble:119S;preamble:106326S;preamble:5min;preamble:60min;preamble:40min;preamble:5min;preamble:40min;preamble:5min;preamble:10min;preamble:24h;preamble:5s;preamble:5min;preamble:36.5h;preamble:30min;preamble:30min;preamble:hourly;preamble:daily;preamble:weekly,blackbox,physics-based;ml;ann;ann-based;data-driven;machine-learning;neural network;state-space;hybrid,NM,NM,NM,NM,NM,NM,optimal_control;heuristic_metaheuristic,NM,NM,NM,comfort;energy,NM,NM,NM,NM,NM,NM,NM,carbon_emissions;cost;energy_performance;thermal_comfort,explicit;real-time;robust;schedule;update;updated;updating,electric_load;electric_use;occupancy;weather,daily;hourly;monthly;subhourly;yearly,subhourly,,False,energy_use|thermal_comfort,energy_use|thermal_comfort,energy_use;thermal_comfort,yes,building_model
10.1016_j.apenergy.2020.115426.json,whitebox;greybox;blackbox,black-box:2.25;data-driven:1.50;energyplus:0.75;gray-box:1.50;grey-box:1.50;purely:1.50;retrained:0.75;simulator:0.75;white-box:0.75;coupled:0.75;estimation:1.50;filter:1.50;hybrid:0.75;kalman:0.75;mathematical:0.75;ann:0.75;cnn:0.75;deep learning:0.75;forecasting:0.75;fusion:0.75;gaussian process:0.75,building_model;system_model,air_quality;air_temperature;environment;metering;occupancy,benchmarking;energy flexibility;mpc;operation performance analysis;performance monitoring,daily;hourly;monthly;subhourly;yearly,subhourly,subhourly,preamble:32S;preamble:36S;preamble:173S;preamble:10min;preamble:30s;preamble:30s;preamble:50h;preamble:50hr;preamble:10min;preamble:40min;preamble:50hr;preamble:50h;preamble:50hr;preamble:50hr;preamble:10min;preamble:30min;preamble:32S;preamble:36S;preamble:173S;preamble:hourly,blackbox,reinforcement learning;zhou;machine learning,greybox,zhou,NM,NM,NM,NM,reinforcement_learning,reinforcement_learning,NM,NM,NM,NM,comfort,NM,NM,NM,NM,NM,cost;energy_performance;flexibility;thermal_comfort,deterministic;exploration;gaussian;initialization;initialize;log;monte;pre-defined;probabilistic;q-value;real-time;setpoints;stochastic;uncertain;uncertainty;update;updated;wavelet;weight,electric_load;electric_use;occupancy;weather,daily;hourly;monthly;subhourly;yearly,subhourly,,False,NM,NM,NM,yes,NM
10.1016_j.apenergy.2020.115451.json,blackbox,data-driven:1.50;energyplus:0.75;simplified:1.50;estimation:1.50;integrated:0.75;cnn:0.75;encoder:0.75;kernel:0.75;lstm:0.75;machine learning:0.75;memory:0.75;neural network:0.75;recurrent:0.75,building_model,air_quality;air_temperature;environment;metering;occupancy,energy flexibility;mpc;operation performance analysis;performance monitoring,5_min;annual;daily;hourly;monthly;subhourly;yearly,subhourly,subhourly,preamble:147S;preamble:161S;preamble:168H;preamble:1035H;preamble:2s;preamble:161S;preamble:168H;preamble:1035H;preamble:5-min;preamble:annual,whitebox;blackbox,simplified;energyplus;reinforcement learning;neural network;cnn;encoder,NM,NM,NM,NM,NM,NM,heuristic_metaheuristic;reinforcement_learning,NM,NM,NM,demand_response;cost;energy;comfort,NM,NM,NM,NM,NM,NM,NM,carbon_emissions;cost;energy_performance;flexibility;thermal_comfort,actor;conditional;deterministic;exploration;gaussian;initialize;iteratively;log;lqg;monte;probabilistic;real-time;schedule;stochastic;update;updated;updating,electric_load;electric_use;occupancy;weather,5_min;annual;daily;hourly;monthly;subhourly;yearly,subhourly,,False,energy_use|thermal_comfort,energy_use|thermal_comfort,energy_use;thermal_comfort,yes,NM
